Name,Ticker,Identifier,SEDOL,Weight,Sector,Shares Held,Local Currency
APPLE INC,AAPL,037833100,2046251,7.509788,-,169302916.000,USD
MICROSOFT CORP,MSFT,594918104,2588173,6.710840,-,85143918.000,USD
AMAZON.COM INC,AMZN,023135106,2000019,3.125138,-,102217629.000,USD
NVIDIA CORP,NVDA,67066G104,2379504,2.906099,-,28319819.000,USD
TESLA INC,TSLA,88160R101,B616C79,1.961302,-,30850041.000,USD
ALPHABET INC CL A,GOOGL,02079K305,BYVY8G0,1.891169,-,68030443.000,USD
META PLATFORMS INC CLASS A,META,30303M102,B7TL820,1.831602,-,25331408.000,USD
BERKSHIRE HATHAWAY INC CL B,BRK.B,084670702,2073390,1.648414,-,20420721.000,USD
ALPHABET INC CL C,GOOG,02079K107,BYY88Y7,1.636199,-,58518947.000,USD
JPMORGAN CHASE + CO,JPM,46625H100,2190385,1.158788,-,33463147.000,USD
EXXON MOBIL CORP,XOM,30231G102,2326618,1.152377,-,46296701.000,USD
UNITEDHEALTH GROUP INC,UNH,91324P102,2917766,1.125607,-,10661079.000,USD
JOHNSON + JOHNSON,JNJ,478160104,2475833,1.099559,-,29758162.000,USD
VISA INC CLASS A SHARES,V,92826C839,B2PZN04,1.049076,-,18530169.000,USD
BROADCOM INC,AVGO,11135F101,BDZ78H9,0.994236,-,4779563.000,USD
PROCTER + GAMBLE CO/THE,PG,742718109,2704407,0.938780,-,26982313.000,USD
ELI LILLY + CO,LLY,532457108,2516152,0.928955,-,9020168.000,USD
MASTERCARD INC   A,MA,57636Q104,B121557,0.897397,-,9581656.000,USD
HOME DEPOT INC,HD,437076102,2434209,0.860630,-,11596037.000,USD
CHEVRON CORP,CVX,166764100,2838555,0.744628,-,19955479.000,USD
MERCK + CO. INC.,MRK,58933Y105,2778844,0.729897,-,29056186.000,USD
PEPSICO INC,PEP,713448108,2681511,0.674443,-,15752701.000,USD
COSTCO WHOLESALE CORP,COST,22160K105,2701271,0.638234,-,5075303.000,USD
ABBVIE INC,ABBV,00287Y109,B92SR70,0.631124,-,20225413.000,USD
ADOBE INC,ADBE,00724F101,2008154,0.622941,-,5252849.000,USD
COCA COLA CO/THE,KO,191216100,2206657,0.622652,-,44516237.000,USD
SALESFORCE INC,CRM,79466L302,2310525,0.595575,-,11210871.000,USD
WALMART INC,WMT,931142103,2936921,0.581265,-,16039632.000,USD
MCDONALD S CORP,MCD,580135101,2550707,0.578770,-,8376277.000,USD
CISCO SYSTEMS INC,CSCO,17275R102,2198163,0.557218,-,46982827.000,USD
BANK OF AMERICA CORP,BAC,060505104,2295677,0.544838,-,79391790.000,USD
PFIZER INC,PFE,717081103,2684703,0.543812,-,64644508.000,USD
THERMO FISHER SCIENTIFIC INC,TMO,883556102,2886907,0.542958,-,4416829.000,USD
ACCENTURE PLC CL A,ACN,G1151C101,B4BNMY3,0.530580,-,7231883.000,USD
NETFLIX INC,NFLX,64110L106,2857817,0.528645,-,5093269.000,USD
ABBOTT LABORATORIES,ABT,002824100,2002305,0.495658,-,19941119.000,USD
ADVANCED MICRO DEVICES,AMD,007903107,2007849,0.493879,-,18440652.000,USD
LINDE PLC,LIN,G54950103,BNZHB81,0.490892,-,5606377.000,USD
ORACLE CORP,ORCL,68389X105,2661568,0.477882,-,17621867.000,USD
COMCAST CORP CLASS A,CMCSA,20030N101,2044545,0.471368,-,47629190.000,USD
TEXAS INSTRUMENTS INC,TXN,882508104,2885409,0.441749,-,10363031.000,USD
WALT DISNEY CO/THE,DIS,254687106,2270726,0.440285,-,20894532.000,USD
WELLS FARGO + CO,WFC,949746101,2649100,0.434465,-,42966799.000,USD
DANAHER CORP,DHR,235851102,2250870,0.423247,-,7604668.000,USD
PHILIP MORRIS INTERNATIONAL,PM,718172109,B2PKRQ3,0.410318,-,17731686.000,USD
NEXTERA ENERGY INC,NEE,65339F101,2328915,0.397902,-,23170257.000,USD
VERIZON COMMUNICATIONS INC,VZ,92343V104,2090571,0.391432,-,48038924.000,USD
INTEL CORP,INTC,458140100,2463247,0.379353,-,47762275.000,USD
RAYTHEON TECHNOLOGIES CORP,RTX,75513E101,BM5M5Y3,0.379172,-,16754649.000,USD
HONEYWELL INTERNATIONAL INC,HON,438516106,2020459,0.372424,-,7641074.000,USD
LOWE S COS INC,LOW,548661107,2536763,0.370503,-,6829074.000,USD
UNITED PARCEL SERVICE CL B,UPS,911312106,2517382,0.361770,-,8299287.000,USD
INTUIT INC,INTU,461202103,2459020,0.358657,-,3217891.000,USD
S+P GLOBAL INC,SPGI,78409V104,BYV2325,0.357796,-,3765086.000,USD
NIKE INC  CL B,NKE,654106103,2640147,0.355371,-,14108748.000,USD
CONOCOPHILLIPS,COP,20825C104,2685717,0.354040,-,13856602.000,USD
QUALCOMM INC,QCOM,747525103,2714923,0.353700,-,12750344.000,USD
BRISTOL MYERS SQUIBB CO,BMY,110122108,2126335,0.350205,-,24056832.000,USD
CATERPILLAR INC,CAT,149123101,2180201,0.349799,-,5901109.000,USD
UNION PACIFIC CORP,UNP,907818108,2914734,0.341718,-,6997659.000,USD
BOEING CO/THE,BA,097023105,2108601,0.328609,-,6475352.000,USD
INTUITIVE SURGICAL INC,ISRG,46120E602,2871301,0.325618,-,4007793.000,USD
GENERAL ELECTRIC CO,GE,369604301,BL59CR9,0.323311,-,12438846.000,USD
INTL BUSINESS MACHINES CORP,IBM,459200101,2005973,0.322869,-,10398282.000,USD
AMGEN INC,AMGN,031162100,2023607,0.322186,-,6107705.000,USD
APPLIED MATERIALS INC,AMAT,038222105,2046552,0.313069,-,9643478.000,USD
MEDTRONIC PLC,MDT,G5960L103,BTN1Y11,0.311419,-,15214372.000,USD
STARBUCKS CORP,SBUX,855244109,2842255,0.310752,-,13144855.000,USD
PROLOGIS INC,PLD,74340W103,B44WZD7,0.308612,-,10542273.000,USD
SERVICENOW INC,NOW,81762P102,B80NXX8,0.306146,-,2333279.000,USD
MORGAN STANLEY,MS,617446448,2262314,0.299555,-,14941903.000,USD
DEERE + CO,DE,244199105,2261203,0.294706,-,3092749.000,USD
BLACKROCK INC,BLK,09247X101,2494504,0.291085,-,1715330.000,USD
GOLDMAN SACHS GROUP INC,GS,38141G104,2407966,0.290426,-,3806704.000,USD
